2024-12-04 17:41:10.128 MSK [49808] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 17:41:10.210 MSK [30932] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 17:41:10.286 MSK [18888] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-05 08:02:53.964 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-05 08:02:54.414 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.443 сек., синхр.=0.003 сек., всего=0.451 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=13 kB, ожидалось=13 kB; lsn=0/2112FC0, lsn redo=0/2112F88
2024-12-05 08:07:53.413 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-05 08:07:54.200 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.777 сек., синхр.=0.005 сек., всего=0.787 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=13 kB; lsn=0/2115058, lsn redo=0/2115020
